model_short,dataset,approx_layer,num_approx_layers,accuracy,original_accuracy,accuracy_retention_pct,delta_acc_mean,delta_acc_max,params_saved_pct,mlp_mode,attn_mode
vit-large-patch16-224,imagenet-1k,"[(6, 7), (8, 9)]",2,0.7644333333333333,0.7845666666666666,97.43,0.020133333333333267,0.0253999999999999,7.6389453431970304,identity,identity
vit-large-patch16-224,imagenet-1k,"[(10, 11), (12, 13)]",2,0.7639999999999999,0.7845666666666666,97.38,0.020566666666666598,0.0217,7.6389453431970304,identity,identity
vit-large-patch16-224,imagenet-1k,"[(7, 8), (9, 10)]",2,0.7638333333333334,0.7845666666666666,97.36,0.020733333333333298,0.0231,7.6389453431970304,identity,identity
vit-large-patch16-224,imagenet-1k,"[(9, 10), (11, 12)]",2,0.7618666666666667,0.7845666666666666,97.11,0.022699999999999998,0.0242,7.6389453431970304,identity,identity
vit-large-patch16-224,imagenet-1k,"[(8, 9), (10, 11)]",2,0.7611666666666667,0.7845666666666666,97.02,0.023399999999999966,0.0257,7.6389453431970304,identity,identity
vit-large-patch16-224,imagenet-1k,"[(16, 17), (18, 19)]",2,0.7593,0.7845666666666666,96.78,0.0252666666666666,0.0296999999999999,7.6389453431970304,identity,identity
vit-large-patch16-224,imagenet-1k,"[(12, 13), (14, 15), (16, 17)]",3,0.7570333333333333,0.7845666666666666,96.49,0.0275333333333333,0.0315999999999999,11.458418014795544,identity,identity
vit-large-patch16-224,imagenet-1k,"[(13, 14), (15, 16), (17, 18)]",3,0.7534333333333333,0.7845666666666666,96.03,0.031133333333333332,0.0322,11.458418014795544,identity,identity
vit-large-patch16-224,imagenet-1k,"[(17, 18), (19, 20)]",2,0.7533333333333334,0.7845666666666666,96.02,0.031233333333333266,0.0327999999999999,7.6389453431970304,identity,identity
vit-large-patch16-224,imagenet-1k,"[(18, 19), (20, 21)]",2,0.7527333333333334,0.7845666666666666,95.94,0.031833333333333304,0.0343999999999999,7.6389453431970304,identity,identity
vit-large-patch16-224,imagenet-1k,"[(19, 20), (21, 22)]",2,0.7507999999999999,0.7845666666666666,95.7,0.03376666666666667,0.0403,7.6389453431970304,identity,identity
vit-large-patch16-224,imagenet-1k,"[(11, 12), (13, 14), (15, 16)]",3,0.7502333333333334,0.7845666666666666,95.62,0.034333333333333334,0.039,11.458418014795544,identity,identity
vit-large-patch16-224,imagenet-1k,"[(10, 11), (12, 13), (14, 15)]",3,0.7494,0.7845666666666666,95.52,0.03516666666666663,0.0363999999999999,11.458418014795544,identity,identity
vit-large-patch16-224,imagenet-1k,"[(6, 7), (8, 9), (10, 11)]",3,0.7485666666666667,0.7845666666666666,95.41,0.03599999999999993,0.0397999999999999,11.458418014795544,identity,identity
vit-large-patch16-224,imagenet-1k,"[(8, 9), (10, 11), (12, 13)]",3,0.7456666666666667,0.7845666666666666,95.04,0.03889999999999996,0.0402,11.458418014795544,identity,identity
vit-large-patch16-224,imagenet-1k,"[(9, 10), (11, 12), (13, 14)]",3,0.7456666666666667,0.7845666666666666,95.04,0.03889999999999996,0.0406,11.458418014795544,identity,identity
vit-large-patch16-224,imagenet-1k,"[(14, 15), (16, 17), (18, 19)]",3,0.7455333333333334,0.7845666666666666,95.02,0.03903333333333327,0.0403999999999999,11.458418014795544,identity,identity
vit-large-patch16-224,imagenet-1k,"[(18, 19), (20, 21), (22, 23)]",3,0.7421666666666668,0.7845666666666666,94.6,0.04239999999999994,0.0485999999999999,11.458418014795544,identity,identity
vit-large-patch16-224,imagenet-1k,"[(7, 8), (9, 10), (11, 12)]",3,0.7414666666666667,0.7845666666666666,94.51,0.04309999999999997,0.0454999999999999,11.458418014795544,identity,identity
vit-large-patch16-224,imagenet-1k,"[(10, 11), (12, 13), (14, 15), (16, 17)]",4,0.7343333333333333,0.7845666666666666,93.6,0.05023333333333327,0.0517,15.27789068639406,identity,identity
vit-large-patch16-224,imagenet-1k,"[(16, 17), (18, 19), (20, 21)]",3,0.7343333333333333,0.7845666666666666,93.6,0.0502333333333333,0.0514999999999999,11.458418014795544,identity,identity
vit-large-patch16-224,imagenet-1k,"[(15, 16), (17, 18), (19, 20)]",3,0.7338333333333334,0.7845666666666666,93.53,0.0507333333333333,0.0533,11.458418014795544,identity,identity
vit-large-patch16-224,imagenet-1k,"[(11, 12), (13, 14), (15, 16), (17, 18)]",4,0.7312,0.7845666666666666,93.2,0.05336666666666664,0.0555000000000001,15.27789068639406,identity,identity
vit-large-patch16-224,imagenet-1k,"[(8, 9), (10, 11), (12, 13), (14, 15)]",4,0.7305666666666667,0.7845666666666666,93.12,0.053999999999999965,0.0565000000000001,15.27789068639406,identity,identity
vit-large-patch16-224,imagenet-1k,"[(17, 18), (19, 20), (21, 22)]",3,0.7305333333333334,0.7845666666666666,93.11,0.0540333333333333,0.0584,11.458418014795544,identity,identity
vit-large-patch16-224,imagenet-1k,"[(12, 13), (14, 15), (16, 17), (18, 19)]",4,0.7292333333333333,0.7845666666666666,92.95,0.05533333333333327,0.0566999999999999,15.27789068639406,identity,identity
vit-large-patch16-224,imagenet-1k,"[(9, 10), (11, 12), (13, 14), (15, 16)]",4,0.7284,0.7845666666666666,92.84,0.05616666666666667,0.0591,15.27789068639406,identity,identity
vit-large-patch16-224,imagenet-1k,"[(6, 7), (8, 9), (10, 11), (12, 13)]",4,0.7251,0.7845666666666666,92.42,0.059466666666666605,0.0616999999999999,15.27789068639406,identity,identity
vit-large-patch16-224,imagenet-1k,"[(7, 8), (9, 10), (11, 12), (13, 14)]",4,0.7221000000000001,0.7845666666666666,92.04,0.062466666666666636,0.0663,15.27789068639406,identity,identity
vit-large-patch16-224,imagenet-1k,"[(16, 17), (18, 19), (20, 21), (22, 23)]",4,0.7213333333333334,0.7845666666666666,91.94,0.0632333333333333,0.0683,15.27789068639406,identity,identity
vit-large-patch16-224,imagenet-1k,"[(13, 14), (15, 16), (17, 18), (19, 20)]",4,0.7173333333333334,0.7845666666666666,91.43,0.06723333333333327,0.0686999999999999,15.27789068639406,identity,identity
vit-large-patch16-224,imagenet-1k,"[(14, 15), (16, 17), (18, 19), (20, 21)]",4,0.7163333333333334,0.7845666666666666,91.3,0.06823333333333327,0.0709999999999999,15.27789068639406,identity,identity
vit-large-patch16-224,imagenet-1k,"[(15, 16), (17, 18), (19, 20), (21, 22)]",4,0.7113999999999999,0.7845666666666666,90.67,0.07316666666666664,0.0803,15.27789068639406,identity,identity
vit-large-patch16-224,imagenet-1k,"[(8, 9), (10, 11), (12, 13), (14, 15), (16, 17)]",5,0.7112333333333334,0.7845666666666666,90.65,0.0733333333333333,0.0756999999999999,19.09736335799257,identity,identity
vit-large-patch16-224,imagenet-1k,"[(6, 7), (8, 9), (10, 11), (12, 13), (14, 15)]",5,0.7094666666666667,0.7845666666666666,90.43,0.07509999999999996,0.0775,19.09736335799257,identity,identity
vit-large-patch16-224,imagenet-1k,"[(10, 11), (12, 13), (14, 15), (16, 17), (18, 19)]",5,0.7044666666666667,0.7845666666666666,89.79,0.08009999999999996,0.0805,19.09736335799257,identity,identity
vit-large-patch16-224,imagenet-1k,"[(9, 10), (11, 12), (13, 14), (15, 16), (17, 18)]",5,0.7012333333333333,0.7845666666666666,89.38,0.08333333333333327,0.0851,19.09736335799257,identity,identity
vit-large-patch16-224,imagenet-1k,"[(14, 15), (16, 17), (18, 19), (20, 21), (22, 23)]",5,0.7000333333333333,0.7845666666666666,89.23,0.08453333333333334,0.0857,19.09736335799257,identity,identity
