model_short,dataset,approx_layer,num_approx_layers,accuracy,original_accuracy,accuracy_retention_pct,delta_acc_mean,delta_acc_max,params_saved_pct,mlp_mode,attn_mode
vit-large-patch16-224,cifar100,"[(6, 22)]",1,0.5339333333333333,0.8637333333333334,61.82,0.32980000000000004,0.3342,66.31947267159852,identity,identity
vit-large-patch16-224,cifar100,"[(6, 19)]",1,0.5338666666666666,0.8637333333333334,61.81,0.3298666666666667,0.3333,53.81947267159852,identity,identity
vit-large-patch16-224,cifar100,"[(6, 21)]",1,0.5299666666666666,0.8637333333333334,61.36,0.3337666666666667,0.3379000000000001,62.15280600493185,identity,identity
vit-large-patch16-224,cifar100,"[(6, 20)]",1,0.5295333333333333,0.8637333333333334,61.31,0.3342,0.3381,57.98613933826518,identity,identity
vit-large-patch16-224,imagenet-1k,"[(22, 23)]",1,0.7836333333333333,0.7845666666666666,99.88,0.0009333333333333664,0.0048,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(7, 8)]",1,0.7813333333333333,0.7845666666666666,99.59,0.0032333333333333,0.0052,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(15, 16)]",1,0.781,0.7845666666666666,99.55,0.0035666666666666334,0.0050999999999999,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(14, 15)]",1,0.7806666666666667,0.7845666666666666,99.5,0.0038999999999999673,0.0079,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(13, 14)]",1,0.7797999999999999,0.7845666666666666,99.39,0.0047666666666666335,0.0080999999999999,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(16, 17)]",1,0.7786,0.7845666666666666,99.24,0.005966666666666634,0.007,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(17, 18)]",1,0.7779000000000001,0.7845666666666666,99.15,0.0066666666666665994,0.0104999999999999,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(12, 13)]",1,0.7775333333333333,0.7845666666666666,99.1,0.007033333333333333,0.0109,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(9, 10)]",1,0.7768,0.7845666666666666,99.01,0.0077666666666666,0.0096,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(10, 11)]",1,0.7760666666666666,0.7845666666666666,98.92,0.008499999999999968,0.0128,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(6, 7)]",1,0.7756666666666666,0.7845666666666666,98.87,0.008899999999999967,0.01,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(11, 12)]",1,0.7747999999999999,0.7845666666666666,98.76,0.009766666666666634,0.0124999999999999,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(8, 9)]",1,0.7743333333333333,0.7845666666666666,98.7,0.010233333333333266,0.0111999999999999,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(20, 21)]",1,0.7730333333333332,0.7845666666666666,98.53,0.011533333333333333,0.0151,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(19, 20)]",1,0.7727333333333334,0.7845666666666666,98.49,0.011833333333333267,0.0133999999999999,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(14, 16)]",1,0.7722333333333333,0.7845666666666666,98.43,0.0123333333333333,0.0136999999999999,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(18, 19)]",1,0.7711333333333333,0.7845666666666666,98.29,0.013433333333333268,0.0156999999999999,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(6, 8)]",1,0.7710666666666667,0.7845666666666666,98.28,0.013499999999999934,0.0166999999999999,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(21, 22)]",1,0.7702666666666667,0.7845666666666666,98.18,0.014299999999999967,0.017,3.8194726715985152,identity,identity
vit-large-patch16-224,imagenet-1k,"[(13, 15)]",1,0.7687333333333334,0.7845666666666666,97.98,0.015833333333333335,0.0185,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(15, 17)]",1,0.7670333333333333,0.7845666666666666,97.77,0.017533333333333335,0.0188,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(21, 23)]",1,0.7669666666666667,0.7845666666666666,97.76,0.0176,0.021,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(7, 9)]",1,0.7658999999999999,0.7845666666666666,97.62,0.018666666666666634,0.021,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(12, 14)]",1,0.7656333333333333,0.7845666666666666,97.59,0.0189333333333333,0.0231,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(16, 18)]",1,0.7645333333333334,0.7845666666666666,97.45,0.020033333333333268,0.0217,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(8, 10)]",1,0.7629333333333334,0.7845666666666666,97.24,0.0216333333333333,0.0243999999999999,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(11, 13)]",1,0.7622666666666666,0.7845666666666666,97.16,0.02229999999999997,0.023,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(10, 12)]",1,0.7585333333333333,0.7845666666666666,96.68,0.0260333333333333,0.0284999999999999,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(14, 17)]",1,0.7576999999999999,0.7845666666666666,96.58,0.026866666666666632,0.0306,12.152806004931849,identity,identity
vit-large-patch16-224,imagenet-1k,"[(13, 16)]",1,0.7575,0.7845666666666666,96.55,0.0270666666666666,0.0284999999999999,12.152806004931849,identity,identity
vit-large-patch16-224,imagenet-1k,"[(9, 11)]",1,0.7571333333333333,0.7845666666666666,96.5,0.027433333333333264,0.0302999999999999,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(12, 15)]",1,0.75,0.7845666666666666,95.59,0.0345666666666667,0.0362,12.152806004931849,identity,identity
vit-large-patch16-224,imagenet-1k,"[(20, 22)]",1,0.7486333333333333,0.7845666666666666,95.42,0.03593333333333334,0.0385999999999999,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(15, 18)]",1,0.7483333333333334,0.7845666666666666,95.38,0.03623333333333326,0.0376999999999999,12.152806004931849,identity,identity
vit-large-patch16-224,imagenet-1k,"[(17, 19)]",1,0.7461000000000001,0.7845666666666666,95.1,0.0384666666666666,0.0404999999999999,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(19, 21)]",1,0.7453,0.7845666666666666,95.0,0.03926666666666664,0.0461,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(6, 9)]",1,0.7451,0.7845666666666666,94.97,0.0394666666666666,0.0426999999999999,12.152806004931849,identity,identity
vit-large-patch16-224,imagenet-1k,"[(20, 23)]",1,0.7430333333333333,0.7845666666666666,94.71,0.04153333333333333,0.0443,12.152806004931849,identity,identity
vit-large-patch16-224,imagenet-1k,"[(11, 14)]",1,0.7418333333333332,0.7845666666666666,94.55,0.04273333333333334,0.045,12.152806004931849,identity,identity
vit-large-patch16-224,imagenet-1k,"[(7, 10)]",1,0.7396333333333334,0.7845666666666666,94.27,0.0449333333333333,0.0466999999999999,12.152806004931849,identity,identity
vit-large-patch16-224,imagenet-1k,"[(8, 11)]",1,0.7391333333333333,0.7845666666666666,94.21,0.04543333333333327,0.0484999999999999,12.152806004931849,identity,identity
vit-large-patch16-224,imagenet-1k,"[(10, 13)]",1,0.7387,0.7845666666666666,94.15,0.045866666666666604,0.0473,12.152806004931849,identity,identity
vit-large-patch16-224,imagenet-1k,"[(13, 17)]",1,0.7349,0.7845666666666666,93.67,0.04966666666666664,0.0501,16.319472671598515,identity,identity
vit-large-patch16-224,imagenet-1k,"[(14, 18)]",1,0.7347,0.7845666666666666,93.64,0.04986666666666667,0.0512,16.319472671598515,identity,identity
vit-large-patch16-224,imagenet-1k,"[(18, 20)]",1,0.7333666666666666,0.7845666666666666,93.47,0.0512,0.0561,7.986139338265182,identity,identity
vit-large-patch16-224,imagenet-1k,"[(9, 12)]",1,0.7315999999999999,0.7845666666666666,93.25,0.052966666666666634,0.0566999999999999,12.152806004931849,identity,identity
vit-large-patch16-224,imagenet-1k,"[(12, 16)]",1,0.7289,0.7845666666666666,92.9,0.055666666666666594,0.0578,16.319472671598515,identity,identity
