"dataset","encoder","skip","mlp_skip","attn_skip","head_dict","skip_translator","mlp_mode","attn_mode","fit_dataset"
"imagenet-1k","google/vit-large-patch16-224","[(13, 22)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(13, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(14, 15)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(14, 16)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(14, 17)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(14, 18)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(14, 19)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(14, 20)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(14, 21)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(14, 22)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(14, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(15, 16)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(15, 17)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(15, 18)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(15, 19)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(15, 20)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(15, 21)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(15, 22)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(15, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(16, 17)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(16, 18)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(16, 19)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(16, 20)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(16, 21)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(16, 22)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(16, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(17, 18)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(17, 19)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(17, 20)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(17, 21)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(17, 22)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(17, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(18, 19)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(18, 20)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(18, 21)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(18, 22)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(18, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(19, 20)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(19, 21)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(19, 22)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(19, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(20, 21)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(20, 22)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(20, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(21, 22)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(21, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-large-patch16-224","[(22, 23)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-base-patch16-224","[]","[]","[]","{}","identity","identity","identity",""
"imagenet-1k","google/vit-base-patch16-224","[(5, 6)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-base-patch16-224","[(5, 7)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-base-patch16-224","[(5, 8)]","[]","[]","{}","linear","identity","identity",""
"imagenet-1k","google/vit-base-patch16-224","[(5, 9)]","[]","[]","{}","linear","identity","identity",""
