seed,dataset,fit_dataset,model,optimizer,lr,classifier,translator,translator_method,translator_rank,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples,majority_class_rate,params_saved,params_saved_pct
3,chestmnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.6525654170195694,0.6503811349351402,0.0021842820844292,250,0.5317166674096198,11546624,3.8194726715985152
1,chestmnist,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.5803949538626131,0.5863237195203495,-0.0059287656577363,250,0.5317166674096198,11546624,3.8194726715985152
2,chestmnist,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.6116435608255695,0.595729505639014,0.0159140551865555,250,0.5317166674096198,11546624,3.8194726715985152
3,chestmnist,cifar100,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.6525654170195694,0.6481522756653145,0.0044131413542548,250,0.5317166674096198,11546624,3.8194726715985152
1,chestmnist,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.5803949538626131,0.5818660009806981,-0.0014710471180849,250,0.5317166674096198,11546624,3.8194726715985152
2,chestmnist,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.6116435608255695,0.6027281237462666,0.0089154370793028,250,0.5317166674096198,11546624,3.8194726715985152
3,chestmnist,imagenet-1k,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 21)]",[],[],{},identity,identity,1,0.6525654170195694,0.6471270004011946,0.0054384166183747,250,0.5317166674096198,11546624,3.8194726715985152
1,pneumoniamnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.8461538461538461,0.8461538461538461,0.0,250,0.625,24142848,7.986139338265182
2,pneumoniamnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.8573717948717948,0.8557692307692307,0.001602564102564,250,0.625,24142848,7.986139338265182
3,pneumoniamnist,pneumoniamnist,google/vit-large-patch16-224,Adam,0.01,Linear,linear,,,256,5,"[(20, 22)]",[],[],{},identity,identity,2,0.7948717948717948,0.8060897435897436,-0.0112179487179487,250,0.625,24142848,7.986139338265182
