seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[1],{},identity,identity,0,0.7321695760598503,0.743142144638404,-0.0109725685785536,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[1],{},identity,identity,0,0.7311720698254364,0.7177057356608478,0.0134663341645885,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[6],{},identity,identity,0,0.7216957605985037,0.7326683291770574,-0.0109725685785536,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[6],{},identity,identity,0,0.7321695760598503,0.741645885286783,-0.0094763092269326,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],[],[6],{},identity,identity,0,0.7311720698254364,0.7266832917705736,0.0044887780548628,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,256,5,"[(0, 4)]",[],[],{},identity,identity,4,0.0,0.6892768079800499,0.0,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,256,5,"[(0, 4)]",[],[],{},identity,identity,4,0.0,0.7581047381546134,0.0,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,256,5,"[(0, 4)]",[],[],{},identity,identity,4,0.0,0.7206982543640897,0.0,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,256,5,"[(0, 1), (2, 3), (4, 5)]",[],[],{},identity,identity,3,0.0,0.7251870324189527,0.0,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,256,5,"[(0, 1), (2, 3), (4, 5)]",[],[],{},identity,identity,3,0.0,0.7451371571072319,0.0,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,256,5,"[(0, 1), (2, 3), (4, 5)]",[],[],{},identity,identity,3,0.0,0.7261845386533666,0.0,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,256,5,"[(0, 1), (2, 3)]",[],[],{},identity,identity,2,0.0,0.7072319201995012,0.0,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,256,5,"[(0, 1), (2, 3)]",[],[],{},identity,identity,2,0.0,0.7541147132169576,0.0,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,256,5,"[(0, 1), (2, 3)]",[],[],{},identity,identity,2,0.0,0.7451371571072319,0.0,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.0,0.714713216957606,0.0,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.0,0.7276807980049875,0.0,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,256,5,"[(0, 1)]",[],[],{},identity,identity,1,0.0,0.7351620947630922,0.0,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,256,5,"[(5, 6)]",[],[],{},identity,identity,1,0.0,0.7286783042394015,0.0,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,256,5,"[(5, 6)]",[],[],{},identity,identity,1,0.0,0.7381546134663342,0.0,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,linear,256,5,"[(5, 6)]",[],[],{},identity,identity,1,0.0,0.7256857855361596,0.0,250
1,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 2, 3, 4]",[],{},linear,identity,0,0.7216957605985037,0.7251870324189527,-0.0034912718204489,250
2,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 2, 3, 4]",[],{},linear,identity,0,0.7321695760598503,0.7496259351620947,-0.0174563591022444,250
3,dermamnist,facebook/dinov2-base,Adam,0.01,Linear,identity,256,5,[],"[1, 2, 3, 4]",[],{},linear,identity,0,0.7311720698254364,0.7301745635910224,0.0009975062344139,250
