model,dataset,approx_layer_str,translator_linear,accuracy_mean_linear,accuracy_std_linear,skip_distance,skip_count,first_skip,translator_identity,accuracy_mean_identity,accuracy_std_identity
facebook/deit-base-patch16-224,imagenet-1k,"[(6, 8)]",linear,0.6503,0.0014730919862656,1,2,6,identity,0.6867000000000001,0.0031575306807693
facebook/deit-small-patch16-224,pneumoniamnist,"[(6, 8)]",linear,0.8060897435897436,0.005551444896054,1,2,6,identity,0.797008547008547,0.0091125652292906
facebook/deit-small-patch16-224,dermamnist,"[(6, 8)]",linear,0.7206982543640897,0.0021740144356811,1,2,6,identity,0.7256857855361596,0.000498753117207
facebook/deit-small-patch16-224,cifar100,"[(6, 8)]",linear,0.6881333333333334,0.0043154760262725,1,2,6,identity,0.6844,0.0028618176042507
facebook/deit-small-patch16-224,imagenet-1k,"[(6, 8)]",linear,0.6048999999999999,0.0020420577856662,1,2,6,identity,0.6201,0.001682260384126
facebook/dinov2-base,pneumoniamnist,"[(6, 8)]",linear,0.8611111111111112,0.0128538562131581,1,2,6,identity,0.8920940170940171,0.0231864683912507
facebook/dinov2-base,dermamnist,"[(6, 8)]",linear,0.7260182876142975,0.0037764976530675,1,2,6,identity,0.7406483790523691,0.0106153599270787
facebook/dinov2-base,cifar100,"[(6, 8)]",linear,0.6122,0.0090421236443658,1,2,6,identity,0.6176666666666667,0.0073002283069321
facebook/dinov2-base,imagenet-1k,"[(6, 8)]",linear,0.31182,0.0040855844135203,1,2,6,identity,0.26734,0.006122336155423
google/vit-base-patch16-224,pneumoniamnist,"[(6, 8)]",linear,0.8263888888888888,0.0290826016855046,1,2,6,identity,0.8536324786324787,0.0148903417358615
google/vit-base-patch16-224,cifar100,"[(6, 8)]",linear,0.7811666666666667,0.0034990474894367,1,2,6,identity,0.7402666666666667,0.0029670411748631
google/vit-base-patch16-224,dermamnist,"[(6, 8)]",linear,0.7567747298420615,0.0132365481625024,1,2,6,identity,0.7501246882793017,0.0103062236008837
google/vit-base-patch16-224,imagenet-1k,"[(6, 8)]",linear,0.6486999999999999,0.0022068076490714,1,2,6,identity,0.6166333333333334,0.0044105933085394
google/vit-large-patch16-224,cifar100,"[(6, 8)]",linear,0.8527333333333335,0.0025716402029314,1,2,6,identity,0.8190333333333334,0.0013203534880225
google/vit-large-patch16-224,pneumoniamnist,"[(6, 8)]",linear,0.8392094017094017,0.0229078863700764,1,2,6,identity,0.827991452991453,0.0191191561625783
google/vit-large-patch16-224,imagenet-1k,"[(6, 8)]",linear,0.7710666666666667,0.0012662279942148,1,2,6,identity,0.7504333333333334,0.0027934447074057
google/vit-large-patch16-224,dermamnist,"[(6, 8)]",linear,0.7566084788029924,0.0052071354159154,1,2,6,identity,0.7506234413965087,0.0061287809114436
microsoft/rad-dino,pneumoniamnist,"[(6, 8)]",linear,0.8659188034188036,0.001850481632018,1,2,6,identity,0.8648504273504273,0.0121344195423083
microsoft/rad-dino,dermamnist,"[(6, 8)]",linear,0.7012468827930175,0.0072448075044059,1,2,6,identity,0.6967581047381546,0.0080266717902398
microsoft/rad-dino,cifar100,"[(6, 8)]",linear,0.2917333333333333,0.0087305975358696,1,2,6,identity,0.3012333333333333,0.0076008771423654
microsoft/rad-dino,imagenet-1k,"[(6, 8)]",linear,0.0785666666666666,0.0033381631675718,1,2,6,identity,0.0830666666666666,0.0014011899704655
facebook/deit-base-patch16-224,pneumoniamnist,"[(7, 9)]",linear,0.8376068376068376,0.0148903417358614,1,2,7,identity,0.844551282051282,0.0139708299472456
facebook/deit-base-patch16-224,dermamnist,"[(7, 9)]",linear,0.7424771404821281,0.006641723808957,1,2,7,identity,0.7436408977556109,0.0095156030066528
facebook/deit-base-patch16-224,cifar100,"[(7, 9)]",linear,0.7019000000000001,0.0031749015732775,1,2,7,identity,0.7054333333333332,0.0031895663237082
facebook/deit-base-patch16-224,imagenet-1k,"[(7, 9)]",linear,0.5544333333333333,0.0020550750189064,1,2,7,identity,0.6619333333333334,0.0015044378795195
facebook/deit-small-patch16-224,pneumoniamnist,"[(7, 9)]",linear,0.7927350427350427,0.0113695494945474,1,2,7,identity,0.7991452991452991,0.0134398991724457
facebook/deit-small-patch16-224,dermamnist,"[(7, 9)]",linear,0.7201995012468828,0.0017277314788717,1,2,7,identity,0.7281795511221945,0.0034912718204488
facebook/deit-small-patch16-224,cifar100,"[(7, 9)]",linear,0.6969666666666666,0.0028041635710731,1,2,7,identity,0.7107666666666667,0.0021962088546705
facebook/deit-small-patch16-224,imagenet-1k,"[(7, 9)]",linear,0.6045666666666667,0.0015947831618541,1,2,7,identity,0.6481666666666667,0.0005507570547286
facebook/dinov2-base,pneumoniamnist,"[(7, 9)]",linear,0.8926282051282052,0.0416666666666666,1,2,7,identity,0.8648504273504273,0.024895684183186
facebook/dinov2-base,cifar100,"[(7, 9)]",linear,0.7778333333333333,0.0004725815626253,1,2,7,identity,0.6764333333333333,0.0023158871590242
