model,dataset,head_dict,total_heads_kept,accuracy_mean,accuracy_std
facebook/dinov2-base,cifar100,"{0: [0, 2, 6, 7], 1: [0, 1, 2, 3], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 2, 3, 7], 5: [0], 6: [0], 7: [0, 4], 8: [0], 9: [0], 10: [0], 11: [0]}",28,0.0954,0.009340235543068497
facebook/dinov2-base,cifar100,"{0: [0, 2, 6, 7], 1: [0, 1, 2, 3], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 3, 6], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",26,0.09899999999999999,0.014310485666112113
facebook/dinov2-base,cifar100,"{0: [0, 6, 7], 1: [0, 1, 2, 3], 2: [0, 2], 3: [0, 1, 2, 3, 8], 4: [0, 1, 3, 7, 8], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",26,0.09823333333333334,0.011359724175055184
facebook/dinov2-base,cifar100,"{0: [0, 6, 7], 1: [0, 1, 2, 3], 2: [0, 2], 3: [0, 1, 8], 4: [0, 1, 3, 7], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",23,0.0966,0.008742997197757752
facebook/dinov2-base,cifar100,"{0: [0], 1: [0, 1, 2, 3], 2: [0], 3: [0, 1], 4: [0, 3, 7], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",18,0.09573333333333334,0.008545369116271889
facebook/dinov2-base,cifar100,"{0: [0], 1: [0, 1, 2, 3], 2: [0], 3: [0, 1], 4: [0, 3], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",17,0.09496666666666666,0.007950052410728707
facebook/dinov2-base,cifar100,"{0: [0], 1: [0, 1, 2], 2: [0], 3: [0, 1], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",15,0.09549999999999999,0.009656086163658656
facebook/dinov2-base,cifar100,"{0: [0], 1: [0, 4], 2: [0], 3: [0, 2], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",14,0.0931,0.007794228634059947
facebook/dinov2-base,cifar100,"{1: [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11], 2: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 11: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11]}",141,0.8720333333333333,0.001625833119767604
facebook/dinov2-base,cifar100,{},144,0.8720666666666667,0.0047427137098219625
facebook/dinov2-base,imagenet-1k,"{0: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11], 1: [0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11], 2: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]}",141,0.7427333333333334,0.0046522396040329615
facebook/dinov2-base,imagenet-1k,"{0: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11], 1: [0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11], 2: [0, 2, 7, 8, 9, 10], 3: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 4: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11], 6: [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11], 10: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11], 11: [0, 1, 2, 3, 4, 6, 8]}",127,0.7002,0.008195730595865086
