model,dataset,head_dict,total_heads_kept,accuracy_mean,accuracy_std,threshold,attention_head_saving,model_size
google/vit-large-patch16-224,cifar100,"{0: [0, 1, 4, 5, 9, 11], 1: [0, 1, 3, 7, 8], 2: [0, 1, 2, 3, 5, 8, 11, 15], 3: [0, 1, 2, 3, 5, 7, 8, 14, 15], 4: [0, 1, 2, 3, 4, 5, 6, 7, 11, 13, 14], 5: [0, 1, 2, 4, 6, 7, 11, 13, 15], 6: [0, 1, 5, 6, 10, 11, 14, 15], 7: [0, 3, 4, 7, 9], 8: [0, 2, 5, 6, 9, 11], 9: [0, 1, 6], 10: [0, 2, 3, 4, 8], 11: [0, 2, 5], 12: [0], 13: [0], 14: [0], 15: [0], 16: [0], 17: [0], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0]}",90,0.4680333333333333,0.0017097758137642925,0.65,77.028,229.97199999999998
google/vit-large-patch16-224,cifar100,"{0: [0, 1, 3, 4, 5, 6, 9, 15], 1: [0, 1, 3, 7, 8, 9, 10, 11, 12, 13], 2: [0, 1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 15], 3: [0, 1, 2, 3, 5, 7, 8, 9, 10, 13, 14, 15], 4: [0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 14], 5: [0, 1, 2, 4, 5, 6, 7, 8, 10, 11, 13, 15], 6: [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 14, 15], 7: [0, 1, 3, 6, 7, 9, 10, 11, 12, 13], 8: [0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13], 9: [0, 1, 2, 3, 4, 6, 8, 12, 14], 10: [0, 2, 3, 4, 5, 8, 9, 10], 11: [0, 1, 2, 7], 12: [0, 6], 13: [0, 15], 14: [0], 15: [0], 16: [0], 17: [0], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0, 6]}",137,0.6176,0.0028618176042508607,0.7,64.714,242.286
google/vit-large-patch16-224,cifar100,"{0: [0, 1, 2, 3, 4, 5, 6, 9, 15], 1: [0, 1, 3, 5, 7, 8, 9, 10, 11, 12, 13], 2: [0, 1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14], 4: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14], 5: [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15], 6: [0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15], 7: [0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14], 8: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 9: [0, 1, 2, 3, 4, 6, 7, 8, 9, 12, 14, 15], 10: [0, 2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15], 11: [0, 1, 2, 3, 7, 9, 10, 15], 12: [0, 3, 6, 9], 13: [0, 1, 13, 15], 14: [0, 5], 15: [0], 16: [0], 17: [0, 1], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0, 3, 13, 14]}",174,0.6855333333333333,0.008592050589546927,0.75,55.02,251.98
google/vit-large-patch16-224,cifar100,"{0: [0, 1, 2, 3, 4, 5, 6, 8, 9, 15], 1: [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15], 2: [0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15], 5: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15], 7: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], 8: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], 11: [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 15], 12: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14], 13: [0, 1, 2, 5, 8, 10, 11, 13, 15], 14: [0, 1, 5, 7, 8, 9, 10, 11, 12, 13], 15: [0, 1, 6, 9], 16: [0, 5, 6, 10, 15], 17: [0, 1, 7], 18: [0], 19: [0], 20: [0], 21: [0], 22: [0], 23: [0, 2, 10, 11, 13, 14]}",233,0.7908666666666667,0.012333018013987231,0.8,39.562000000000005,267.438
google/vit-large-patch16-224,cifar100,"{0: [0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 15], 5: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15], 14: [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15], 15: [0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15], 16: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15], 17: [0, 1, 2, 3, 6, 7, 8, 10, 12, 14, 15], 18: [0, 2, 3, 7, 9, 14], 19: [0, 6, 8, 13, 14, 15], 20: [0], 21: [0, 13], 22: [0, 5], 23: [0, 2, 6, 7, 10, 11, 13, 14, 15]}",299,0.8426333333333332,0.0027537852736430803,0.85,22.27,284.73
google/vit-large-patch16-224,cifar100,"{0: [0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 14, 15], 20: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15], 21: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15], 22: [0, 1, 2, 5, 6, 7, 8, 10, 13, 14]}",374,0.8634333333333334,0.0026312227829154104,0.9,2.62,304.38
google/vit-large-patch16-224,cifar100,{},384,0.8637333333333334,0.002514623895005656,0.95,0.0,307.0
google/vit-large-patch16-224,cifar100,{},384,0.8637333333333334,0.002514623895005656,1.0,0.0,307.0
facebook/deit-small-patch16-224,imagenet-1k,"{0: [0], 1: [0], 2: [0], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",12,0.07996666666666667,0.001115048578911844,0.05,5.88,16.220000000000002
facebook/deit-small-patch16-224,imagenet-1k,"{0: [0], 1: [0], 2: [0], 3: [0], 4: [0], 5: [0], 6: [0], 7: [0], 8: [0], 9: [0], 10: [0], 11: [0]}",12,0.07996666666666667,0.001115048578911844,0.1,5.88,16.220000000000002
