seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,head_dict,mlp_mode,attn_mode,num_layers,original_accuracy,accuracy,delta_acc,num_samples
3,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 4], 2: [0, 1, 2, 4], 3: [0, 1, 5], 4: [0, 2, 3], 5: [0, 1], 6: [0, 3, 4, 5], 7: [0, 2, 3], 8: [0, 2], 9: [0, 1, 2], 10: [0, 2], 11: [0]}",identity,identity,0,0.712,0.405,0.3069999999999999,500
1,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 4], 2: [0, 1, 2, 4], 3: [0, 1, 2, 5], 4: [0, 1, 2, 3], 5: [0, 1, 3, 5], 6: [0, 3, 4, 5], 7: [0, 2, 3, 5], 8: [0, 2], 9: [0, 1, 2], 10: [0, 1, 2], 11: [0]}",identity,identity,0,0.7126,0.4371,0.2755,500
2,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 4], 2: [0, 1, 2, 4], 3: [0, 1, 2, 5], 4: [0, 1, 2, 3], 5: [0, 1, 3, 5], 6: [0, 3, 4, 5], 7: [0, 2, 3, 5], 8: [0, 2], 9: [0, 1, 2], 10: [0, 1, 2], 11: [0]}",identity,identity,0,0.7128,0.4391,0.2737,500
3,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 4], 2: [0, 1, 2, 4], 3: [0, 1, 2, 5], 4: [0, 1, 2, 3], 5: [0, 1, 3, 5], 6: [0, 3, 4, 5], 7: [0, 2, 3, 5], 8: [0, 2], 9: [0, 1, 2], 10: [0, 1, 2], 11: [0]}",identity,identity,0,0.712,0.4384,0.2735999999999999,500
1,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 3, 4], 2: [0, 1, 2, 3, 4], 3: [0, 1, 2, 3, 5], 4: [0, 1, 2, 3, 4], 5: [0, 1, 3, 4, 5], 6: [0, 3, 4, 5], 7: [0, 1, 2, 3, 5], 8: [0, 1, 2, 3], 9: [0, 1, 2], 10: [0, 1, 2], 11: [0, 1]}",identity,identity,0,0.7126,0.5066,0.2059999999999999,500
2,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 3, 4], 2: [0, 1, 2, 3, 4], 3: [0, 1, 2, 3, 5], 4: [0, 1, 2, 3, 4], 5: [0, 1, 3, 4, 5], 6: [0, 3, 4, 5], 7: [0, 1, 2, 3, 5], 8: [0, 1, 2, 3], 9: [0, 1, 2], 10: [0, 1, 2], 11: [0, 1]}",identity,identity,0,0.7128,0.5097,0.2030999999999999,500
3,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 3, 4], 2: [0, 1, 2, 3, 4], 3: [0, 1, 2, 3, 5], 4: [0, 1, 2, 3, 4], 5: [0, 1, 3, 4, 5], 6: [0, 3, 4, 5], 7: [0, 1, 2, 3, 5], 8: [0, 1, 2, 3], 9: [0, 1, 2], 10: [0, 1, 2], 11: [0, 1]}",identity,identity,0,0.712,0.5137,0.1982999999999999,500
1,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 2, 3, 4], 2: [0, 1, 2, 3, 4], 3: [0, 1, 2, 3, 5], 5: [0, 1, 3, 4, 5], 6: [0, 1, 3, 4, 5], 8: [0, 1, 2, 3], 9: [0, 1, 2, 3, 4], 10: [0, 1, 2], 11: [0, 1]}",identity,identity,0,0.7126,0.5547,0.1579,500
2,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 2, 3, 4], 2: [0, 1, 2, 3, 4], 3: [0, 1, 2, 3, 5], 5: [0, 1, 3, 4, 5], 6: [0, 1, 3, 4, 5], 8: [0, 1, 2, 3], 9: [0, 1, 2, 3, 4], 10: [0, 1, 2], 11: [0, 1]}",identity,identity,0,0.7128,0.5557,0.1571,500
3,cifar100,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[],"{0: [0, 3, 5], 1: [0, 1, 2, 3, 4], 2: [0, 1, 2, 3, 4], 3: [0, 1, 2, 3, 5], 5: [0, 1, 3, 4, 5], 6: [0, 1, 3, 4, 5], 8: [0, 1, 2, 3], 9: [0, 1, 2, 3, 4], 10: [0, 1, 2], 11: [0, 1]}",identity,identity,0,0.712,0.5572,0.1547999999999999,500
