seed,dataset,model,optimizer,lr,classifier,translator,batch_size,num_epochs,approx_layer,mlp_linearize,attn_linearize,num_layers,original_accuracy,accuracy,delta_acc,num_samples,head_dict,mlp_mode,attn_mode
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 11)]",[],[],3,0.7372,0.6722,0.0649999999999999,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 10)]",[],[],2,0.7389,0.6852,0.0536999999999999,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 10)]",[],[],2,0.7362,0.6887,0.0474999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(3, 4), (9, 10)]",[],[],2,0.7372,0.692,0.0452,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(2, 3)]",[],[],1,0.7389,0.7055,0.0333999999999999,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(2, 3)]",[],[],1,0.7362,0.7048,0.0313999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(2, 3)]",[],[],1,0.7372,0.705,0.0322,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(10, 11)]",[],[],1,0.7389,0.7366,0.0022999999999999,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(10, 11)]",[],[],1,0.7362,0.7367,-0.0005,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,"[(10, 11)]",[],[],1,0.7372,0.7331,0.0040999999999999,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],0,0.7389,0.7112,0.0276999999999999,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],0,0.7362,0.7104,0.0257999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],0,0.7372,0.7091,0.0281,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],0,0.7389,0.7118,0.0271,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],0,0.7362,0.7103,0.0258999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],0,0.7372,0.7124,0.0247999999999999,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[3],[],0,0.7389,0.7208,0.0181,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[3],[],0,0.7362,0.7191,0.0171,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[3],[],0,0.7372,0.7212,0.016,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[11],[],0,0.7389,0.7384,0.0005,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[11],[],0,0.7362,0.7375,-0.0013,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[11],[],0,0.7372,0.7384,-0.0011999999999999,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],"[4, 10, 11]",0,0.7389,0.6955,0.0433999999999999,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],"[4, 10, 11]",0,0.7362,0.6981,0.0380999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],"[4, 10, 11]",0,0.7372,0.6993,0.0378999999999999,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],"[4, 10]",0,0.7389,0.713,0.0259,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],"[4, 10]",0,0.7362,0.7108,0.0253999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],"[4, 10]",0,0.7372,0.7147,0.0224999999999999,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[3],0,0.7389,0.7294,0.0094999999999999,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[3],0,0.7362,0.728,0.0081999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[3],0,0.7372,0.7277,0.0094999999999999,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[11],0,0.7389,0.7357,0.0031999999999999,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[11],0,0.7362,0.7356,0.0005999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[],[11],0,0.7372,0.7331,0.0040999999999999,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 11)]",[],[],3,0.7389,0.6817,0.0572,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 11)]",[],[],3,0.7362,0.681,0.0551999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 11)]",[],[],3,0.7372,0.6839,0.0533,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 10)]",[],[],2,0.7389,0.706,0.0329,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 10)]",[],[],2,0.7362,0.7087,0.0274999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(3, 4), (9, 10)]",[],[],2,0.7372,0.7093,0.0278999999999999,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(2, 3)]",[],[],1,0.7389,0.7331,0.0058,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(2, 3)]",[],[],1,0.7362,0.7355,0.0006999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(2, 3)]",[],[],1,0.7372,0.7303,0.0069,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(10, 11)]",[],[],1,0.7389,0.7379,0.001,500,{},identity,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(10, 11)]",[],[],1,0.7362,0.736,0.0001999999999999,500,{},identity,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,linear,256,5,"[(10, 11)]",[],[],1,0.7372,0.733,0.0041999999999999,500,{},identity,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],0,0.7389,0.7063,0.0325999999999999,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],0,0.7362,0.7093,0.0268999999999999,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10, 11]",[],0,0.7372,0.7075,0.0296999999999999,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],0,0.7389,0.7147,0.0242,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],0,0.7362,0.7149,0.0212999999999999,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],"[4, 10]",[],0,0.7372,0.7174,0.0197999999999999,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[3],[],0,0.7389,0.7343,0.0046,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[3],[],0,0.7362,0.7323,0.0039,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[3],[],0,0.7372,0.7337,0.0034999999999999,500,{},linear,identity
1,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[11],[],0,0.7389,0.7361,0.0028,500,{},linear,identity
2,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[11],[],0,0.7362,0.7345,0.0016999999999999,500,{},linear,identity
3,imagenet-1k,facebook/deit-small-patch16-224,Adam,0.01,Linear,identity,256,5,[],[11],[],0,0.7372,0.7342,0.003,500,{},linear,identity
1,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,[],[],[],0,0.6477,0.6477,0.0,500,{},identity,identity
2,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,[],[],[],0,0.6546,0.6546,0.0,500,{},identity,identity
3,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,[],[],[],0,0.6569,0.6569,0.0,500,{},identity,identity
1,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,"[(0, 4)]",[],[],4,0.6477,0.0649,0.5828000000000001,500,{},identity,identity
2,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,"[(0, 4)]",[],[],4,0.6546,0.0634,0.5912,500,{},identity,identity
3,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,"[(0, 4)]",[],[],4,0.6569,0.0557,0.6012000000000001,500,{},identity,identity
1,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,"[(0, 1), (2, 3), (4, 5)]",[],[],3,0.6477,0.3792,0.2685,500,{},identity,identity
2,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,"[(0, 1), (2, 3), (4, 5)]",[],[],3,0.6546,0.3765,0.2780999999999999,500,{},identity,identity
3,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,"[(0, 1), (2, 3), (4, 5)]",[],[],3,0.6569,0.3733,0.2836,500,{},identity,identity
1,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,"[(0, 1), (2, 3)]",[],[],2,0.6477,0.4812,0.1665,500,{},identity,identity
2,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,"[(0, 1), (2, 3)]",[],[],2,0.6546,0.4787,0.1758999999999999,500,{},identity,identity
3,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,"[(0, 1), (2, 3)]",[],[],2,0.6569,0.4859,0.171,500,{},identity,identity
1,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,"[(0, 1)]",[],[],1,0.6477,0.6026,0.0451,500,{},identity,identity
2,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,"[(0, 1)]",[],[],1,0.6546,0.6013,0.0533,500,{},identity,identity
3,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,"[(0, 1)]",[],[],1,0.6569,0.6008,0.0561,500,{},identity,identity
1,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,"[(5, 6)]",[],[],1,0.6477,0.6385,0.0092,500,{},identity,identity
2,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,"[(5, 6)]",[],[],1,0.6546,0.6455,0.0090999999999999,500,{},identity,identity
3,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,"[(5, 6)]",[],[],1,0.6569,0.6404,0.0165,500,{},identity,identity
1,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,[],"[1, 2, 3, 4]",[],0,0.6477,0.3314,0.3163000000000001,500,{},identity,identity
2,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,[],"[1, 2, 3, 4]",[],0,0.6546,0.3315,0.3230999999999999,500,{},identity,identity
3,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,[],"[1, 2, 3, 4]",[],0,0.6569,0.3317,0.3252,500,{},identity,identity
1,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,[],"[1, 3, 5]",[],0,0.6477,0.605,0.0427,500,{},identity,identity
2,imagenet-1k,facebook/dino-vitb16,Adam,0.01,Linear,identity,256,5,[],"[1, 3, 5]",[],0,0.6546,0.6047,0.0498999999999999,500,{},identity,identity
